earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,94.0,223.5,230.0,GEWTG,GEWTG,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20180108_H11,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,89.8,194.7,200.0,FTWI,FTWI,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20190719_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,87.0,207.1,210.1,CBRKS,CBRKS,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,85.4,149.0,150.0,RT661,RT661,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20181015_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,80.3,194.8,198.1,WTGS,WTGS,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20221218_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,80.2,202.0,203.4,WINER,WINER,,,WND,WT,1.0,,,,,wind
ercot_rt_se_20191011_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,78.6,182.1,186.5,BS3,BS3,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20190524_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,75.8,183.6,183.7,LOC,LOC,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,73.3,203.6,211.1,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20160306_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,71.2,209.7,213.0,1,1,,,WND,WT,19.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,67.9,213.9,231.7,1,1,,,WND,WT,17.0,,,,,wind
ercot_rt_se_20221222_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,67.2,157.2,157.9,WAPPA,WAPPA,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20210616_H13,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,67.1,220.9,225.4,WTW,WTW,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20171211_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,66.0,151.4,152.6,GEN1,GEN1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20211009_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,65.7,182.4,183.3,WM001,WM001,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160503_H10,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,65.5,219.7,223.5,2,2,,,WND,WT,18.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,65.4,191.3,200.0,GEN1,GEN1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160528_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,65.4,189.5,199.2,GEN1,GEN1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160102_H01,ercot_rt_se_20231221_H07,ERC,WEST,0.0,64.8,214.7,223.5,3,3,,,WND,WT,18.0,,,,,wind
ercot_rt_se_20160715_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,64.8,139.1,140.5,1,1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20171211_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,64.4,146.4,147.6,GEN1,GEN1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,64.4,202.7,204.1,SHAN1,SHAN1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20190515_H12,ercot_rt_se_20240331_H24,ERC,FWES,0.0,63.6,148.2,150.0,RAN,RAN,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20170825_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,63.5,189.1,196.6,BRKAT,BRKAT,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20190515_H12,ercot_rt_se_20240331_H24,ERC,FWES,0.0,62.1,147.8,149.8,RAN,RAN,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20200621_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,61.1,196.1,199.0,AVTOR,AVTOR,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,60.9,138.3,143.7,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20170317_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,60.2,162.1,163.2,ASTRA,ASTRA,,,WND,WT,7.0,,,,,wind
ercot_rt_se_20190401_H16,ercot_rt_se_20240331_H24,ERC,WEST,0.0,60.0,147.9,150.1,STRAE,STRAE,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20181106_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,59.6,146.8,149.9,TAH,TAH,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20200811_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,59.4,188.4,196.8,MVRCK,MVRCK,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,58.8,155.8,160.9,GEN1,GEN1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20181106_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,58.1,148.0,150.0,TAH,TAH,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20191101_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,58.1,193.3,201.6,MES,MES,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20190401_H16,ercot_rt_se_20240331_H24,ERC,WEST,0.0,57.9,146.9,150.1,STRAE,STRAE,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20170115_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,57.5,149.6,151.2,OSWF,OSWF,,,WND,WT,7.0,,,,,wind
ercot_rt_se_20221102_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,56.6,138.2,138.2,LCW1,LCW1,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20190630_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,56.5,181.2,184.6,FOARD,FOARD,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20181019_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,56.4,197.5,201.0,WT1,WT1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20191216_H08,ercot_rt_se_20240331_H24,ERC,FWES,0.0,56.0,165.2,169.2,SD,SD,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,56.0,138.3,144.1,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20181223_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,55.4,146.6,148.7,TWE,TWE,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,55.1,149.8,150.0,1,1,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,55.0,145.4,148.6,1,1,,,WND,WT,11.0,,,,,wind
ercot_rt_se_20180304_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,54.5,159.0,160.0,WT1,WT1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,54.0,182.9,191.1,3,3,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20191216_H08,ercot_rt_se_20240331_H24,ERC,FWES,0.0,53.9,165.1,169.2,SD,SD,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160701_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,53.9,112.5,113.7,1,1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,53.4,104.5,107.4,GRVWI,GRVWI,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,53.2,154.4,160.0,1,1,,,WND,WT,15.0,,,,,wind
ercot_rt_se_20221102_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,53.1,135.4,135.4,LCW1,LCW1,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20220109_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,53.1,160.8,168.1,EEA,EEA,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,53.0,100.5,103.8,GRVWI,GRVWI,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20200615_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,52.6,177.0,179.3,AVTOR,AVTOR,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,52.2,160.0,164.7,2,2,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20210507_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,51.9,147.9,152.3,WM001,WM001,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20211022_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,51.8,165.2,179.1,WTG1,WTG1,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20161027_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,51.7,129.9,131.1,EWF,EWF,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,51.5,191.4,200.1,1,1,,,WND,WT,12.0,,,,,wind
ercot_rt_se_20210816_H09,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,50.6,135.3,135.4,HW001,HW001,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20191004_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,50.6,197.3,209.5,MESQ,MESQ,,,WND,WT,4.0,,,,,wind
ercot_rt_se_20160226_H09,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,50.5,149.2,151.8,SPII,SPII,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20221210_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,50.3,189.1,195.8,WYOUN,WYOUN,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20190403_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,50.3,209.4,221.3,PAT1,PAT1,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160301_H12,ercot_rt_se_20230926_H08,ERC,SCEN,0.0,50.3,176.8,184.0,2,2,,,WND,WT,18.0,,,,,wind
ercot_rt_se_20160506_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,50.3,117.9,118.9,1,1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20200914_H18,ercot_rt_se_20240331_H24,ERC,WEST,0.0,49.9,170.2,177.7,AM-TX,AM-TX,,,WND,WT,4.0,,,,,wind
ercot_rt_se_20210816_H09,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,49.6,143.4,143.8,HW001,HW001,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20200501_H18,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,49.5,194.1,216.1,WT1,WT1,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20181223_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,49.5,123.1,128.5,TWE,TWE,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160219_H16,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,49.4,98.7,100.2,GVII,GVII,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20221210_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,49.3,147.5,152.3,WYOUN,WYOUN,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20190630_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,48.8,158.9,163.2,FOARD,FOARD,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,48.5,141.8,153.6,1,1,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,48.4,149.4,153.5,JRWND,JRWND,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160226_H09,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,48.2,145.9,148.5,SPII,SPII,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,48.0,140.8,150.0,GEN1,GEN1,,,WND,WT,12.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,47.8,174.8,184.0,2,2,,,WND,WT,18.0,,,,,wind
ercot_rt_se_20160920_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,47.8,108.6,110.0,GEN1,GEN1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,47.6,141.5,146.2,JRWND,JRWND,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160219_H16,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,47.6,98.8,100.2,GVII,GVII,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20211009_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,47.6,132.1,132.5,WM001,WM001,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160919_H18,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,47.3,129.7,131.1,HCWF,HCWF,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20180526_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,47.0,145.5,148.4,WT1,WT1,,,WND,WT,6.0,,,,,wind
ercot_rt_se_20170818_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,46.5,125.0,125.0,WSPWF,WSPWF,,,WND,WT,7.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,46.3,95.3,96.2,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,46.1,191.3,200.5,1,1,,,WND,WT,14.0,,,,,wind
ercot_rt_se_20200615_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,46.0,141.7,144.2,AVTOR,AVTOR,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160930_H20,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,46.0,113.2,115.2,MAR1,MAR1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20221224_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,45.8,178.7,192.2,CGWIN,CGWIN,,,WND,WT,1.0,,,,,wind
ercot_rt_se_20160930_H20,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,45.7,113.4,115.2,MAR1,MAR1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20170530_H19,ercot_rt_se_20240331_H24,ERC,WEST,0.0,45.7,125.9,126.5,DERM,DERM,,,WND,WT,7.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,45.6,97.7,98.0,GEN1,GEN1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,45.6,92.7,93.4,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20221210_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,45.5,145.2,149.0,WYOUN,WYOUN,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20170530_H19,ercot_rt_se_20240331_H24,ERC,WEST,0.0,45.5,125.6,126.5,DERM,DERM,,,WND,WT,7.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,45.2,169.8,181.9,1,1,,,WND,WT,15.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,45.0,99.4,100.0,GEN1,GEN1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20210616_H13,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,44.5,139.1,140.9,WTW,WTW,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,44.5,145.3,149.8,BFW,BFW,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,44.3,156.7,160.1,GEN1,GEN1,,,WND,WT,12.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,44.2,172.4,187.8,1,1,,,WND,WT,17.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,43.3,95.8,98.0,1,1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,43.2,108.0,110.0,KW1,KW1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20191004_H17,ercot_rt_se_20240331_H24,ERC,WEST,0.0,43.1,191.7,209.3,MESQ,MESQ,,,WND,WT,4.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,42.3,165.4,169.5,1,1,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,42.2,154.4,164.0,CAM1,CAM1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,42.2,162.3,163.5,HWFG1,HWFG1,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20210626_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,42.0,123.3,126.8,GTWND,GTWND,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20201001_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,41.8,168.7,180.5,MNW,MNW,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20191120_H17,ercot_rt_se_20240331_H24,ERC,FWES,0.0,41.7,153.7,159.4,BKII,BKII,,,WND,WT,,,,6.0,2024.0,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,41.4,99.5,102.0,1,1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,41.0,108.4,109.2,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20161027_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,40.9,98.4,98.9,EWF,EWF,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,40.4,114.0,120.0,1,1,,,WND,WT,19.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,40.2,104.5,107.1,1,1,,,WND,WT,10.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,40.0,95.2,96.0,GEN1,GEN1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,39.9,112.1,115.0,3,3,,,WND,WT,18.0,,,,,wind
ercot_rt_se_20191116_H19,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,39.7,181.5,199.2,1,1,,,WND,WT,12.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,39.2,101.1,103.0,1,1,,,WND,WT,9.0,,,,,wind
